number of nodes,accuracy
1,0.7246376811594203
3,0.7536231884057971
5,0.7536231884057971
7,0.7536231884057971
9,0.7536231884057971
11,0.7536231884057971
13,0.7536231884057971
15,0.7536231884057971
17,0.7536231884057971
17,0.7536231884057971
17,0.7536231884057971
19,0.7536231884057971
19,0.7536231884057971
19,0.7536231884057971
19,0.7536231884057971
21,0.7536231884057971
23,0.7681159420289855
25,0.7536231884057971
25,0.7536231884057971
25,0.7536231884057971
25,0.7536231884057971
25,0.7536231884057971
27,0.7681159420289855
29,0.7681159420289855
29,0.7681159420289855
29,0.7681159420289855
31,0.7681159420289855
33,0.7681159420289855
35,0.7391304347826086
37,0.7391304347826086
39,0.7101449275362319
41,0.7246376811594203
41,0.7246376811594203
43,0.7246376811594203
45,0.6956521739130435
45,0.6956521739130435
45,0.6956521739130435
47,0.6956521739130435
47,0.6956521739130435
49,0.7101449275362319
49,0.7101449275362319
49,0.7101449275362319
51,0.7101449275362319
51,0.7101449275362319
53,0.7246376811594203
55,0.7101449275362319
55,0.7101449275362319
57,0.7101449275362319
57,0.7101449275362319
59,0.7101449275362319
61,0.7101449275362319
61,0.7101449275362319
63,0.7101449275362319
65,0.7101449275362319
67,0.7101449275362319
67,0.7101449275362319
67,0.7101449275362319
67,0.7101449275362319
67,0.7101449275362319
67,0.7101449275362319
67,0.7101449275362319
67,0.7101449275362319
69,0.7101449275362319
71,0.6956521739130435
73,0.6956521739130435
73,0.6956521739130435
75,0.6956521739130435
75,0.6956521739130435
75,0.6956521739130435
75,0.6956521739130435
75,0.6956521739130435
77,0.7246376811594203
79,0.7246376811594203
81,0.7246376811594203
83,0.7246376811594203
85,0.7101449275362319
85,0.7101449275362319
87,0.6956521739130435
87,0.6956521739130435
89,0.6956521739130435
89,0.6956521739130435
89,0.6956521739130435
89,0.6956521739130435
91,0.6956521739130435
93,0.6956521739130435
95,0.7101449275362319
95,0.7101449275362319
97,0.6956521739130435
97,0.6956521739130435
99,0.7101449275362319
99,0.7101449275362319
99,0.7101449275362319
101,0.7101449275362319
101,0.7101449275362319
101,0.7101449275362319
103,0.7101449275362319
105,0.6956521739130435
107,0.6956521739130435
107,0.6956521739130435
107,0.6956521739130435
109,0.6811594202898551
111,0.6811594202898551
111,0.6811594202898551
113,0.6811594202898551
113,0.6811594202898551
115,0.6811594202898551
117,0.6811594202898551
117,0.6811594202898551
119,0.6811594202898551
121,0.6811594202898551
123,0.6521739130434783
123,0.6521739130434783
123,0.6521739130434783
123,0.6521739130434783
125,0.6521739130434783
125,0.6521739130434783
125,0.6521739130434783
127,0.6521739130434783
127,0.6521739130434783
129,0.6521739130434783
131,0.6521739130434783
131,0.6521739130434783
131,0.6521739130434783
131,0.6521739130434783
133,0.6521739130434783
133,0.6521739130434783
133,0.6521739130434783
133,0.6521739130434783
133,0.6521739130434783
133,0.6521739130434783
135,0.6521739130434783
135,0.6521739130434783
137,0.6521739130434783
137,0.6521739130434783
137,0.6521739130434783
139,0.6521739130434783
139,0.6521739130434783
141,0.6376811594202898
143,0.6376811594202898
145,0.6376811594202898
145,0.6376811594202898
147,0.6231884057971014
147,0.6231884057971014
147,0.6231884057971014
147,0.6231884057971014
147,0.6231884057971014
149,0.6231884057971014
149,0.6231884057971014
149,0.6231884057971014
151,0.6231884057971014
151,0.6231884057971014
153,0.6376811594202898
153,0.6376811594202898
