depth,accuracy
0,0.6764705882352942
1,0.6764705882352942
1,0.6764705882352942
2,0.6764705882352942
2,0.6764705882352942
2,0.6470588235294118
2,0.6470588235294118
3,0.6470588235294118
3,0.6470588235294118
3,0.6470588235294118
3,0.6470588235294118
3,0.6470588235294118
3,0.6470588235294118
4,0.6470588235294118
4,0.6470588235294118
4,0.6470588235294118
4,0.6470588235294118
4,0.6470588235294118
4,0.6470588235294118
5,0.6470588235294118
5,0.6470588235294118
5,0.6470588235294118
5,0.6470588235294118
5,0.6470588235294118
5,0.6470588235294118
6,0.6470588235294118
6,0.6470588235294118
6,0.6176470588235294
6,0.6176470588235294
6,0.6176470588235294
6,0.6176470588235294
6,0.6176470588235294
6,0.6176470588235294
7,0.6176470588235294
7,0.6470588235294118
7,0.6470588235294118
7,0.6470588235294118
7,0.6470588235294118
7,0.6470588235294118
8,0.6470588235294118
8,0.6470588235294118
8,0.6764705882352942
8,0.6764705882352942
8,0.6764705882352942
8,0.6764705882352942
9,0.6764705882352942
9,0.6764705882352942
9,0.6764705882352942
9,0.6764705882352942
9,0.6764705882352942
9,0.6764705882352942
9,0.6470588235294118
9,0.6470588235294118
10,0.6470588235294118
10,0.6470588235294118
10,0.6176470588235294
10,0.6176470588235294
10,0.6176470588235294
10,0.6176470588235294
10,0.6176470588235294
10,0.6176470588235294
10,0.6176470588235294
10,0.6176470588235294
10,0.6176470588235294
10,0.6176470588235294
11,0.6176470588235294
11,0.6176470588235294
11,0.6176470588235294
11,0.6176470588235294
11,0.6176470588235294
11,0.6470588235294118
12,0.6470588235294118
12,0.6470588235294118
12,0.6470588235294118
12,0.6470588235294118
12,0.6470588235294118
12,0.6470588235294118
12,0.6470588235294118
12,0.6470588235294118
12,0.6470588235294118
12,0.6470588235294118
13,0.6470588235294118
13,0.6470588235294118
13,0.6470588235294118
13,0.6470588235294118
13,0.6470588235294118
13,0.6470588235294118
13,0.6470588235294118
13,0.6470588235294118
13,0.6470588235294118
13,0.6470588235294118
13,0.6764705882352942
13,0.6764705882352942
13,0.6764705882352942
13,0.6470588235294118
14,0.6470588235294118
14,0.6470588235294118
14,0.6176470588235294
14,0.6176470588235294
14,0.6176470588235294
14,0.6176470588235294
14,0.6176470588235294
14,0.6176470588235294
14,0.6176470588235294
14,0.6176470588235294
14,0.6176470588235294
14,0.6176470588235294
14,0.6176470588235294
14,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
15,0.6176470588235294
16,0.6176470588235294
16,0.6176470588235294
16,0.6176470588235294
16,0.6176470588235294
16,0.6176470588235294
16,0.6176470588235294
16,0.6176470588235294
16,0.6176470588235294
16,0.6176470588235294
16,0.6176470588235294
17,0.6176470588235294
17,0.6176470588235294
18,0.6176470588235294
18,0.6176470588235294
